SuccessID,StudentID,AcademicYear,Semester,ModulesPassed,ModulesFailed,CreditsEarned,CreditsAttempted,ProgressionStatus,RetentionStatus,GraduationLikelihood,AcademicRisk,InterventionRequired,InterventionType
SS001,ST001,2026,1,8,0,120,120,Progressed,Retained,High,Low,No,None
SS002,ST002,2026,1,6,2,90,120,Conditional,Retained,Medium,Medium,Yes,Academic Advising
SS003,ST003,2026,1,8,0,120,120,Progressed,Retained,High,Low,No,None
SS004,ST004,2026,1,5,3,75,120,Conditional,Retained,Low,High,Yes,Tutoring
SS005,ST005,2026,1,8,0,120,120,Progressed,Retained,High,Low,No,None
SS006,ST006,2026,1,4,4,60,120,At Risk,Retained,Low,High,Yes,Academic Support Programme
SS007,ST007,2026,1,4,0,90,90,Progressed,Retained,High,Low,No,None
SS008,ST008,2026,1,4,0,90,90,Progressed,Retained,High,Low,No,None
SS009,ST009,2026,1,3,0,120,120,Progressed,Retained,High,Low,No,None
SS010,ST010,2026,1,2,1,80,120,Conditional,Retained,Medium,Medium,Yes,Research Mentorship
