ImprovementID,Source,Faculty,Programme,Issue,RootCause,Action,Owner,Status,Progress,BeforeScore,CurrentScore,TargetScore,Impact,Evidence,StartDate,TargetDate
IMP001,Student Voice,Medicine,MBChB,Low assessment feedback satisfaction,Delayed marking,Implement electronic marking,School of Medicine,In Progress,65,3.2,3.9,4.5,Moderate Improvement,Assessment policy revised,2026-01-15,2026-09-30
IMP002,Programme Review,Pharmacy,BPharm,Curriculum misalignment,Outdated curriculum,Review curriculum mapping,Faculty Board,Completed,100,72,90,90,High Improvement,Approved curriculum,2026-02-01,2026-07-30
IMP003,Strategic KPI,Institutional,N/A,Low postgraduate enrolment,Weak recruitment,Launch recruitment campaign,Registrar,In Progress,55,68,74,85,Moderate Improvement,Marketing reports,2026-01-20,2026-10-31
IMP004,Internal Audit,Nursing,BNursing,Incomplete module files,Poor document control,Centralise evidence repository,Quality Office,Completed,100,65,95,95,High Improvement,Audit report,2026-01-10,2026-05-31
IMP005,Risk Register,Institutional,N/A,High cyber security risk,Legacy systems,Implement MFA and security training,ICT Services,In Progress,70,60,82,90,Moderate Improvement,Security audit,2026-02-15,2026-11-30
IMP006,Student Voice,Dentistry,BDS,Unsatisfactory laboratory facilities,Equipment shortages,Purchase laboratory equipment,Facilities Management,In Progress,45,3.4,3.8,4.5,Limited Improvement,Procurement documents,2026-03-01,2026-10-30
IMP007,CHE Recommendation,Medicine,MBChB,Insufficient work-integrated learning,Placement shortages,Increase clinical placement agreements,Dean,Not Started,10,68,68,90,Pending,MOU draft,2026-04-01,2026-12-15
IMP008,Graduate Survey,Pharmacy,BPharm,Graduate employability below target,Weak industry partnerships,Expand internship opportunities,Career Office,In Progress,50,74,79,90,Moderate Improvement,Employer agreements,2026-02-20,2026-11-30
IMP009,Student Success,Science,BSc Biomedical Sciences,Low first-year retention,Academic preparedness,Introduce early warning system,Student Success Office,Completed,100,61,82,85,High Improvement,Retention report,2026-01-15,2026-08-15
IMP010,Complaints,Institutional,N/A,Long registration queues,Manual processes,Automate registration workflow,Registrar,Completed,100,58,88,90,High Improvement,System implementation report,2026-01-10,2026-06-30
IMP011,Student Voice,Nursing,BNursing,Poor communication with students,Delayed announcements,Implement communication protocol,Faculty Manager,In Progress,60,3.5,4.0,4.6,Moderate Improvement,Communication policy,2026-02-10,2026-09-30
IMP012,Programme Review,Dentistry,BDS,Assessment moderation delays,Limited moderators,Increase moderation capacity,School of Oral Health,Overdue,35,69,72,90,Limited Improvement,Moderation schedule,2026-01-20,2026-07-31
IMP013,Strategic KPI,Institutional,N/A,Research output below target,Limited supervision,Research mentoring programme,DVC Research,In Progress,58,71,78,90,Moderate Improvement,Research strategy,2026-03-01,2026-12-31
IMP014,Internal Audit,Institutional,N/A,Policy review overdue,Resource constraints,Annual policy review calendar,Governance Office,Completed,100,60,94,95,High Improvement,Approved policies,2026-01-05,2026-05-31
IMP015,Student Voice,Pharmacy,BPharm,Digital learning dissatisfaction,LMS usability,Upgrade LMS support,ICT Services,In Progress,62,3.3,4.1,4.6,Moderate Improvement,LMS analytics,2026-02-15,2026-10-31
IMP016,Risk Register,Institutional,N/A,Data quality inconsistencies,Manual data capture,Implement data validation rules,Institutional Planning,In Progress,67,70,83,90,Moderate Improvement,Data quality report,2026-03-10,2026-11-30
IMP017,CHE Recommendation,Nursing,BNursing,Simulation facilities require enhancement,Infrastructure limitations,Upgrade simulation laboratories,Dean,Not Started,5,64,64,90,Pending,Business case,2026-05-01,2027-02-28
IMP018,Graduate Survey,Medicine,MBChB,Graduate digital skills below expectations,Curriculum gap,Introduce digital health modules,Curriculum Committee,In Progress,52,72,80,90,Moderate Improvement,Curriculum proposal,2026-03-15,2026-12-15
IMP019,Student Success,Science,BSc Biomedical Sciences,High course repeat rate,Difficult first-year modules,Peer tutoring programme,Student Success Office,Completed,100,56,84,85,High Improvement,Tutoring report,2026-01-10,2026-08-31
IMP020,Programme Review,Medicine,MBChB,Community engagement evidence incomplete,Poor documentation,Develop evidence repository,Quality Assurance Office,In Progress,72,74,86,90,High Improvement,Repository records,2026-02-01,2026-11-15
