EvidenceID,ReferenceType,ReferenceID,EvidenceTitle,EvidenceCategory,ResponsibleOffice,DocumentOwner,DocumentLocation,Version,LastUpdated,ReviewStatus,ExpiryDate
EV001,Strategic KPI,KPI001,Student Success Report 2026,Performance Report,Academic Affairs,Institutional Research,SharePoint/IPQA/Reports,v2.1,2026-06-30,Approved,2027-06-30
EV002,Self-Evaluation Report,SER003,Assessment Moderation Report,Academic Evidence,Academic Affairs,Assessment Office,SharePoint/QA/SER,v1.3,2026-05-30,Approved,2027-05-30
EV003,Programme Review,PR002,Programme Review Report,Programme Review,Quality Assurance,QA Directorate,SharePoint/ProgrammeReviews,v1.0,2026-07-10,Approved,2028-07-10
EV004,Quality Standard,QS005,Infrastructure Audit Report,Audit Report,Facilities Management,Facilities Directorate,SharePoint/Facilities,v3.0,2026-06-15,Approved,2027-06-15
EV005,Improvement Plan,IP004,Postgraduate Supervision Framework,Improvement Evidence,Research Office,DVC Research Office,SharePoint/Research,v1.2,2026-07-20,Under Review,2027-07-20
EV006,Complaint,C002,Simulation Laboratory Inspection Report,Inspection Report,Facilities Management,Facilities Directorate,SharePoint/Facilities,v1.1,2026-07-01,Approved,2027-07-01
EV007,Risk Register,R006,Cybersecurity Risk Assessment,Risk Assessment,ICT,CIO Office,SharePoint/ICT,v2.4,2026-06-25,Approved,2027-06-25
EV008,Annual Performance Plan,APP007,Third Stream Income Report,Financial Report,Finance,Finance Directorate,SharePoint/Finance,v2.0,2026-06-30,Approved,2027-06-30
EV009,Audit Finding,AF003,Internal Audit Closure Report,Audit Evidence,Internal Audit,Chief Audit Executive,SharePoint/InternalAudit,v1.5,2026-07-18,Approved,2028-07-18
EV010,Graduate Destination,GD001,Graduate Employability Survey Report,Survey Report,Career Services,Institutional Research,SharePoint/Surveys,v2.0,2026-06-30,Approved,2027-06-30
